CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,GAME_TIME_LEFT,SHOT_TIME_LEFT,TEAM1_ID,TEAM2_ID,BALL_X,BALL_Y,PLAYER1_ID,PLAYER1_X,PLAYER1_Y,PLAYER2_ID,PLAYER2_X,PLAYER2_Y,PLAYER3_ID,PLAYER3_X,PLAYER3_Y,PLAYER4_ID,PLAYER4_X,PLAYER4_Y,PLAYER5_ID,PLAYER5_X,PLAYER5_Y,PLAYER6_ID,PLAYER6_X,PLAYER6_Y,PLAYER7_ID,PLAYER7_X,PLAYER7_Y,PLAYER8_ID,PLAYER8_X,PLAYER8_Y,PLAYER9_ID,PLAYER9_X,PLAYER9_Y,PLAYER10_ID,PLAYER10_X,PLAYER10_Y
3,260,426,591.96,21.41,1610612737,1610612765,27.68095,4.07696,2594,11.83032,24.13506,200794,1.59887,33.47045,201143,45.55926,22.37741,201952,58.34456,28.25168,203145,36.95142,42.21334,101141,7.11788,26.35592,202704,14.58712,32.09507,202694,57.62937,45.71365,203484,11.09031,24.29527,203083,28.14099,19.34333
3,260,515,588.38,18.42,1610612737,1610612765,11.35191,5.85614,2594,56.67815,19.03712,200794,40.81687,33.77767,201143,79.19061,21.42188,201952,83.50827,32.97296,203145,69.85401,21.93703,101141,55.89828,29.37584,202704,58.31892,28.42194,202694,82.71656,36.66138,203484,67.21341,5.63921,203083,77.31987,22.38561
4,81,27,263.08,23.96,1610612737,1610612765,38.81981,2.91845,200794,59.42774,33.83094,200757,49.61334,5.67657,201168,15.59771,29.1058,203934,72.64728,7.9409600000000005,203471,33.70596,40.32843,202704,60.07222,31.83819,202694,61.79396,29.59738,203484,66.74855,9.02314,203083,67.66528,24.97725,1626169,78.82955,12.74186
4,81,67,261.48,22.16,1610612737,1610612765,42.29644,3.56874,200794,78.36426,34.07082,200757,61.76461,3.86973,201168,39.06039,25.19936,203934,86.09972,28.59541,203471,50.37252,41.42809,202704,63.39733,35.62495,202694,76.57613,31.27154,203484,71.94122,9.24263,203083,72.84149,25.28237,1626169,86.95232,24.06086
4,81,83,260.84,21.43,1610612737,1610612765,43.22757,4.57391,200794,82.08443,33.58005,200757,65.23131,3.3149800000000003,201168,47.82266,23.4161,203934,87.83704,37.29071,203471,55.041,42.47066,202704,64.23306,38.16158,202694,79.9076,32.11492,203484,71.63784,8.95803,203083,70.82497,25.10658,1626169,87.82339,32.58813
4,81,95,260.36,20.89,1610612737,1610612765,43.75489,2.4132,200794,81.64995,34.91742,200757,67.44477,3.0274,201168,53.55021,22.1354,203934,87.81428,41.3618,203471,57.37317,43.04086,202704,64.79225,39.52018,202694,80.47808,33.50125,203484,72.02419,8.90695,203083,69.21,25.08145,1626169,88.14112,38.06748
4,81,130,258.96,19.31,1610612737,1610612765,47.04034,3.40997,200794,78.95637,38.04255,200757,70.755,2.90206,201168,63.07993,19.05814,203934,92.4217,36.03744,203471,63.49327,45.65909,202704,68.31171,42.60013,202694,79.01905,36.06418,203484,74.01151,8.73733,203083,72.22752,23.78326,1626169,89.05865,35.42119
4,81,155,257.95,18.19,1610612737,1610612765,43.3344,9.671990000000001,200794,81.58725,40.31277,200757,72.60341,3.4124600000000003,201168,62.89061,20.41969,203934,92.02181,20.345,203471,69.29828,45.8938,202704,72.75734,42.76992,202694,81.45891,38.07952,203484,75.55185,9.62328,203083,75.90027,23.60694,1626169,90.05631,26.95464
4,81,242,254.47,24.0,1610612737,1610612765,24.4712,7.46926,200794,70.87933,38.23882,200757,63.76207,12.63278,201168,57.75934,19.31574,203934,77.59464,6.8986,203471,93.93227,23.19147,202704,90.19939,27.45029,202694,82.55015,36.96409,203484,68.07705,24.31272,203083,72.34492,23.19869,1626169,86.78561,22.6766
4,81,249,254.19,24.0,1610612737,1610612765,23.78577,4.04127,200794,67.22229,36.63618,200757,60.27218,14.96157,201168,55.07322,19.80283,203934,74.53142,8.24048,203471,91.84092,23.98053,202704,90.24667,27.55169,202694,83.16978,36.51063,203484,64.80316,26.61271,203083,70.25468,23.09286,1626169,85.20654,22.10286
4,81,257,253.87,24.0,1610612737,1610612765,23.51532,3.10594,200794,62.94236,35.11255,200757,56.24449,17.90408,201168,51.75445,20.34544,203934,70.58525,9.9052,203471,90.33479,24.95837,202704,90.20101,27.35165,202694,84.51463,35.89826,203484,60.53078,29.25322,203083,67.33025,23.20644,1626169,82.5552,20.82097
4,81,300,252.14,23.38,1610612737,1610612765,22.49919,3.72579,200794,43.48349,30.16005,200757,32.52497,31.39275,201168,34.5049,22.87173,203934,47.83529,15.437570000000001,203471,86.11545,23.63902,202704,87.16893,23.04742,202694,92.42755,30.69688,203484,37.10035,42.45223,203083,46.82616,23.46228,1626169,58.95587,11.29729
5,92,124,163.01,18.51,1610612737,1610612765,13.91403,2.60682,200794,58.98637,24.49503,200757,88.75459,46.93479,201168,71.16979,8.18141,203934,67.22878,12.66978,203471,62.45436,42.30339,202704,86.89699,33.83838,202694,73.15439,26.64296,203484,69.72677,11.67027,203083,80.08243,16.84181,1626169,71.11592,23.00446
5,92,198,160.04,15.27,1610612737,1610612765,38.34803,0.9149400000000001,200794,65.77216,28.54213,200757,88.61987,47.02518,201168,81.92613,15.64386,203934,69.13237,8.84377,203471,70.23925,37.94543,202704,85.9078,37.07103,202694,74.40944,33.93288,203484,71.23826,19.57445,203083,84.17692,18.14498,1626169,70.03532,28.55149
